# Commit-hash map for the 2026-08-01 history rewrite (co-author trailers removed).
# Trees are byte-identical on both sides; only commit messages changed, so every
# SHA below moved. Use this to resolve a pre-rewrite commit recorded in a result CSV.
old_sha	new_sha
7cb8de27dd7a82e779a9c6e0b769c48720b7e6aa	283bf57614f30c82509beccbac7c3715506aa093
52bbcc77fa548bf42cc057bcd4073536a9dd8c7e	1a10236051cfcd688e0a83b90b578a3d202d3bd6
fe198426c609f98d794898c6ba291f8dc81252f1	39ec80ddb11947bea318d5ec96eff402ad50bb89
49d31209fcd1e4a8fca0fa999299e775c6a8f55e	6ba3ebd96c9f83de5dc81e977929e95d476f758d
3e3e2beeb915700c579b9303756b5f4331d8316b	7d97d4465cb144b7a1995e96851a91a8af101de7
049a3fd2404c120c3c83e9568dbc03cc0e439d0a	79971c2384e8a137c93f940223098f5b55e48eab
c601b57d6d703f81e03fcd547c14f0d3c0b008d5	c914f1cb4b8ace32ed61b9d07d67a04feb3e0af1
38d31cb9271e23d1488a70176e178cccaf1315d2	e486d51c54600aeb60d0ad4a7c9781a9620f7c40
dc13dd23a419eadc790e609f97a34dfcf8d2e6f5	72fb887f993050347ee91ec4ceb99d208c15db97
c98e305a5681c0a8ad237925af57eedec239cfa4	8e98bfec9b1f450e480aa7dd7dc5d43ad7dccb95
bdc16c29f475398fde2f9eb003286e21f2f1b499	88829ed9c42ad4a40ec686251434ca2e86600467
8980907486886f82c8cfff479acb942f1265893e	d899a0437d1e7d1d36f2447562acfe35a8771751
eee032ea97e9e23d274e9e87e0c413919992f242	3b83d2a063a9d5352a3668b776d01ec3abcb36ec
c5c8f345971cac8bb0cb9d6096433926f64d31c4	738f6ff8734e10d615fd96ddd9e33715e500cf2c
ff00ed063623681368b610ac63f81445f501ee8c	7ad16a7a16a5c85915eda28ad11c1ef1edd51054
6a65b9deea7ca4d03e677da1aadf3c07bcc486f1	84efb8aaecb44ae7084a9d21989c63c332607275
920c9c47b91a9daee840a2429e3e3861b33d1a65	581f89ff46296d855132d4d60bc30cdfd50f5125
79d21a0232ef55a1284d2a50e3ce0b88c8b1393b	404b58579ecffbbeee70e97cfbe44c9eb23e3c26
303d85617aa11b0fae2addad58e3f4040b8e4b79	5d95fbaf2d8dadbc406515c5e4f96302458423e6
